# All the main nodes for metal
#Node ID	Band Title	Link
2733	220 Volt (band)	/wiki/220_Volt_(band)
2734	44 Magnum (band)	/wiki/44_Magnum_(band)
2735	A II Z	/wiki/A_II_Z
13	Accept (band)	/wiki/Accept_(band)
12	AC/DC	/wiki/AC/DC
17	Aerosmith	/wiki/Aerosmith
25	Alice Cooper	/wiki/Alice_Cooper
2736	Angel (American band)	/wiki/Angel_(American_band)
2737	Ángeles del Infierno	/wiki/%C3%81ngeles_del_Infierno
39	Angel Witch	/wiki/Angel_Witch
2738	Anthem (band)	/wiki/Anthem_(band)
42	Anthrax (American band)	/wiki/Anthrax_(American_band)
2739	Anvil (band)	/wiki/Anvil_(band)
2740	Armageddon (A&M band)	/wiki/Armageddon_(A%26M_band)
2742	Atomic Rooster	/wiki/Atomic_Rooster
2743	Atomkraft	/wiki/Atomkraft
2744	Attila (rock band)	/wiki/Attila_(rock_band)
2745	Axe (band)	/wiki/Axe_(band)
2746	Babe Ruth (band)	/wiki/Babe_Ruth_(band)
2747	Bang (American band)	/wiki/Bang_(American_band)
2748	Barnabas (band)	/wiki/Barnabas_(band)
2749	Barón Rojo	/wiki/Bar%C3%B3n_Rojo
2750	Battleaxe (band)	/wiki/Battleaxe_(band)
2752	Beowülf	/wiki/Beow%C3%BClf
2753	Birth Control (band)	/wiki/Birth_Control_(band)
2754	Bitch (band)	/wiki/Bitch_(band)
2755	Black Death (American band)	/wiki/Black_Death_(American_band)
2756	Black 'n Blue	/wiki/Black_%27n_Blue
2757	Black Rose (UK Band)	/wiki/Black_Rose_(UK_Band)
98	Black Sabbath	/wiki/Black_Sabbath
2758	Black Widow (band)	/wiki/Black_Widow_(band)
2759	Bleak House (band)	/wiki/Bleak_House_(band)
2760	Blind Illusion	/wiki/Blind_Illusion
2761	Blitzkrieg (band)	/wiki/Blitzkrieg_(band)
2762	Bloodrock	/wiki/Bloodrock
2763	Blue Cheer	/wiki/Blue_Cheer
106	Blue Öyster Cult	/wiki/Blue_%C3%96yster_Cult
2764	Bodine (band)	/wiki/Bodine_(band)
2765	Boss (Australian band)	/wiki/Boss_(Australian_band)
2766	Bow Wow (band)	/wiki/Bow_Wow_(band)
2767	Bronz	/wiki/Bronz
2768	Edgar Broughton Band	/wiki/Edgar_Broughton_Band
2769	Budgie (band)	/wiki/Budgie_(band)
2770	Buffalo (band)	/wiki/Buffalo_(band)
2771	Bulldozer (band)	/wiki/Bulldozer_(band)
2772	Cactus (American band)	/wiki/Cactus_(American_band)
2773	Captain Beyond	/wiki/Captain_Beyond
2774	Chateaux (band)	/wiki/Chateaux_(band)
2775	Cirith Ungol (band)	/wiki/Cirith_Ungol_(band)
2776	Cloven Hoof (band)	/wiki/Cloven_Hoof_(band)
2777	Coven (band)	/wiki/Coven_(band)
2778	Crimson Glory	/wiki/Crimson_Glory
2779	Crushed Butler	/wiki/Crushed_Butler
2780	Death SS	/wiki/Death_SS
2781	Dedringer	/wiki/Dedringer
2782	Deep Machine	/wiki/Deep_Machine
209	Deep Purple	/wiki/Deep_Purple
208	Def Leppard	/wiki/Def_Leppard
2783	Demon (band)	/wiki/Demon_(band)
2784	The Deviants (band)	/wiki/The_Deviants_(band)
2785	Diamond Head (English band)	/wiki/Diamond_Head_(English_band)
2786	Die Krupps	/wiki/Die_Krupps
2787	Divlje Jagode	/wiki/Divlje_Jagode
2788	Dokken	/wiki/Dokken
2789	Doro (musician)	/wiki/Doro_(musician)
2790	Dust (band)	/wiki/Dust_(band)
2791	Earthshaker (band)	/wiki/Earthshaker_(band)
2792	Easy Action (band)	/wiki/Easy_Action_(band)
2793	E.F. Band	/wiki/E.F._Band
2794	Electric Sun	/wiki/Electric_Sun
244	Elf (band)	/wiki/Elf_(band)
2795	Ethel the Frog (band)	/wiki/Ethel_the_Frog_(band)
256	Europe (band)	/wiki/Europe_(band)
2796	Exciter (band)	/wiki/Exciter_(band)
2797	Fallout (heavy metal band)	/wiki/Fallout_(heavy_metal_band)
2798	Fist (UK band)	/wiki/Fist_(UK_band)
2799	Flotsam and Jetsam (band)	/wiki/Flotsam_and_Jetsam_(band)
2800	Flower Travellin' Band	/wiki/Flower_Travellin%27_Band
2801	The Flying Hat Band	/wiki/The_Flying_Hat_Band
469	Lita Ford	/wiki/Lita_Ford
2802	Gamma (band)	/wiki/Gamma_(band)
2803	Geordie (band)	/wiki/Geordie_(band)
2804	Gillan (band)	/wiki/Gillan_(band)
2805	Girl (band)	/wiki/Girl_(band)
2806	Girlschool	/wiki/Girlschool
2807	Gordi (band)	/wiki/Gordi_(band)
329	Grand Funk Railroad	/wiki/Grand_Funk_Railroad
2808	Grave Digger (band)	/wiki/Grave_Digger_(band)
2809	Gravestone (band)	/wiki/Gravestone_(band)
332	Great White	/wiki/Great_White
2810	Grim Reaper (band)	/wiki/Grim_Reaper_(band)
2811	The Gun (band)	/wiki/The_Gun_(band)
670	Sammy Hagar	/wiki/Sammy_Hagar
2812	The Handsome Beasts	/wiki/The_Handsome_Beasts
2813	Hanoi Rocks	/wiki/Hanoi_Rocks
2814	Hard Stuff	/wiki/Hard_Stuff
347	Hawkwind	/wiki/Hawkwind
2815	Headpins	/wiki/Headpins
2816	Heaven (Australian band)	/wiki/Heaven_(Australian_band)
2817	Heavy Load (band)	/wiki/Heavy_Load_(band)
2818	Heavy Metal Kids	/wiki/Heavy_Metal_Kids
2819	Helix (band)	/wiki/Helix_(band)
403	The Jimi Hendrix Experience	/wiki/The_Jimi_Hendrix_Experience
2820	High Tide (band)	/wiki/High_Tide_(band)
2821	Hollow Ground (band)	/wiki/Hollow_Ground_(band)
