# All the main nodes for rock
#Node ID	Band Title	Link
0	10cc	/wiki/10cc
1	10 Years (band)	/wiki/10_Years_(band)
2	The 1975	/wiki/The_1975
3	3 Doors Down	/wiki/3_Doors_Down
4	311 (band)	/wiki/311_(band)
5	38 Special (band)	/wiki/38_Special_(band)
6	4 Non Blondes	/wiki/4_Non_Blondes
7	7th Order	/wiki/7th_Order
8	? and the Mysterians	/wiki/%3F_and_the_Mysterians
9	801 (band)	/wiki/801_(band)
10	12 Stones	/wiki/12_Stones
11	ABBA	/wiki/ABBA
12	AC/DC	/wiki/AC/DC
13	Accept (band)	/wiki/Accept_(band)
14	Adam Ant	/wiki/Adam_Ant
15	Adam Faith	/wiki/Adam_Faith
16	Adam Lambert	/wiki/Adam_Lambert
17	Aerosmith	/wiki/Aerosmith
18	A-ha	/wiki/A-ha
19	Air Supply	/wiki/Air_Supply
20	Alabama (band)	/wiki/Alabama_(band)
21	Albert Lee	/wiki/Albert_Lee
22	Alestorm	/wiki/Alestorm
23	Alex Chilton	/wiki/Alex_Chilton
24	Alan Parsons	/wiki/Alan_Parsons
25	Alice Cooper	/wiki/Alice_Cooper
26	Alice in Chains	/wiki/Alice_in_Chains
27	Alien Ant Farm	/wiki/Alien_Ant_Farm
28	All American Rejects	/wiki/All_American_Rejects
29	All Time Low	/wiki/All_Time_Low
30	The Allman Brothers Band	/wiki/The_Allman_Brothers_Band
31	Also Eden	/wiki/Also_Eden
32	Alter Bridge	/wiki/Alter_Bridge
33	Ambrosia (band)	/wiki/Ambrosia_(band)
34	America (band)	/wiki/America_(band)
35	Amon Amarth	/wiki/Amon_Amarth
36	Anarbor	/wiki/Anarbor
37	The Angels (American group)	/wiki/The_Angels_(American_group)
38	Angels & Airwaves	/wiki/Angels_%26_Airwaves
39	Angel Witch	/wiki/Angel_Witch
40	Angra (band)	/wiki/Angra_(band)
41	The Animals	/wiki/The_Animals
42	Anthrax (American band)	/wiki/Anthrax_(American_band)
43	April Wine	/wiki/April_Wine
44	The Archies	/wiki/The_Archies
45	Arctic Monkeys	/wiki/Arctic_Monkeys
46	Argent (band)	/wiki/Argent_(band)
47	Art Garfunkel	/wiki/Art_Garfunkel
48	Audioslave	/wiki/Audioslave
49	Avenged Sevenfold	/wiki/Avenged_Sevenfold
50	The Avett Brothers	/wiki/The_Avett_Brothers
51	Avril Lavigne	/wiki/Avril_Lavigne
52	Awolnation	/wiki/Awolnation
53	Ayub Bachchu	/wiki/Ayub_Bachchu
54	The Babys	/wiki/The_Babys
55	Bachman Turner Overdrive	/wiki/Bachman_Turner_Overdrive
56	Bad Company	/wiki/Bad_Company
57	Badfinger	/wiki/Badfinger
58	Bad Religion	/wiki/Bad_Religion
59	The Band	/wiki/The_Band
60	Band Aid (band)	/wiki/Band_Aid_(band)
61	The Band Perry	/wiki/The_Band_Perry
62	The Bangles	/wiki/The_Bangles
63	Barbara Streisand	/wiki/Barbara_Streisand
64	Barns Courtney	/wiki/Barns_Courtney
65	Bastille (band)	/wiki/Bastille_(band)
66	Bathory (band)	/wiki/Bathory_(band)
67	Bauhaus (band)	/wiki/Bauhaus_(band)
68	Bay City Rollers	/wiki/Bay_City_Rollers
69	B.B. King	/wiki/B.B._King
70	Be-Bop Deluxe	/wiki/Be-Bop_Deluxe
71	Ben E. King	/wiki/Ben_E._King
72	Beck	/wiki/Beck
73	Beastie Boys	/wiki/Beastie_Boys
74	The Beatles	/wiki/The_Beatles
75	The Beach Boys	/wiki/The_Beach_Boys
76	Bee Gees	/wiki/Bee_Gees
77	Beirut (band)	/wiki/Beirut_(band)
78	Ben Folds	/wiki/Ben_Folds
79	Ben Folds 5	/wiki/Ben_Folds_5
80	Better Than Ezra	/wiki/Better_Than_Ezra
81	Betty Moon	/wiki/Betty_Moon
82	The Big Bopper	/wiki/The_Big_Bopper
83	Big & Rich	/wiki/Big_%26_Rich
84	Bill Haley & The Comets	/wiki/Bill_Haley_%26_The_Comets
85	Bill Withers	/wiki/Bill_Withers
86	Billy Corgan	/wiki/Billy_Corgan
87	Billy Fury	/wiki/Billy_Fury
88	Billy Idol	/wiki/Billy_Idol
89	Billy J. Kramer	/wiki/Billy_J._Kramer
90	Billy Joel	/wiki/Billy_Joel
91	Billy Preston	/wiki/Billy_Preston
92	Billy Squier	/wiki/Billy_Squier
93	Bjork	/wiki/Bjork
94	The Black Crowes	/wiki/The_Black_Crowes
95	Black Flag (band)	/wiki/Black_Flag_(band)
96	The Black Keys	/wiki/The_Black_Keys
97	Black Label Society	/wiki/Black_Label_Society
98	Black Sabbath	/wiki/Black_Sabbath
99	Bleachers (band)	/wiki/Bleachers_(band)
100	Blind Guardian	/wiki/Blind_Guardian
101	Blind Melon	/wiki/Blind_Melon
102	Blink-182	/wiki/Blink-182
103	Blondie (band)	/wiki/Blondie_(band)
104	Blood Sweat & Tears	/wiki/Blood_Sweat_%26_Tears
